Selector,Classifier,Number_of_Features,Accuracy,Performance_score,Supported_Features
BorutaPy,SVC_rbf,165,0.9414651457541192,0.935,[False  True False ... False False False]
BorutaPy,SVC_linear,165,0.9027325728770597,0.8962,[False  True False ... False False False]
BorutaPy,DecisionTreeClassifier,165,0.7694651457541192,0.763,[False  True False ... False False False]
BorutaPy,XGBClassifier,165,0.9048314321926489,0.8983,[False  True False ... False False False]
BorutaPy,RandomForestClassifier,165,0.544,0.5375,[False  True False ... False False False]
BorutaPy,LogisticRegression,165,0.8913662864385298,0.8849,[False  True False ... False False False]
