Selector,Classifier,Number_of_Features,Accuracy,Performance_score,Supported_Features
Lasso,Lasso,0,0.5,0.5,[False False False ... False False False]
Lasso,Lasso,3,0.5193662864385298,0.5194,[False False False ... False False False]
Lasso,Lasso,27,0.7734651457541192,0.7735,[False False False ... False False False]
Lasso,Lasso,47,0.8654651457541191,0.8655,[False False False ... False False False]
Lasso,Lasso,120,0.932831432192649,0.9308,[False False False ... False False False]
Lasso,Lasso,174,0.9414651457541192,0.9341,[False False False ... False False False]
Lasso,Lasso,290,0.9534651457541192,0.9345,[False False False ... False False False]
